epoch,train_r1_to_r2,val_r1_to_r2,train_r2_to_r1,val_r2_to_r1
1,0.0010344725997348408,0.00016350662368421005,0.0010257728951604524,5.6744501066253977e-05
2,0.00010808756863147883,0.00018995909934402537,9.025330654179677e-05,0.00014295488609623506
3,9.211390628461867e-05,0.00019227672942643225,8.486708567056968e-05,0.0003114820310099963
4,0.00010600758183397021,9.297426457086825e-05,9.105670702998907e-05,7.03900587556133e-05
5,9.844235215612448e-05,9.088672833262981e-05,0.00010065658913743225,0.00013575583164181028
6,5.04564200012593e-05,0.0001521173197739254,5.980134414244687e-05,0.0001077415359685226
7,0.00010016481667852245,5.6782621998406414e-05,5.846946396504505e-05,7.919913183954754e-05
8,5.237126954296782e-05,7.069198757247305e-05,6.104150081811655e-05,7.492476596576589e-05
9,6.543626261522416e-05,5.24070771777532e-05,5.774020386781802e-05,0.0001347828174588432
